Metabolite,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
%C17:0-F,0.311%,0.237%,0.383%,0.275%,0.288%,0.229%,0.176%,0.271%,0.329%,0.196%
12(13)-EpODE-To-F,6.24,21.40,8.32,8.54,10.00,6.23,9.64,4.21,3.08,10.20
%C21:0-F,0.005%,0.003%,0.129%,0.004%,0.005%,0.012%,0.001%,0.008%,0.002%,0.002%
12(13)-Ep-9-KODE-NE-F,3.34,1.47,2.95,0.42,2.40,0.21,0.53,4.13,0.50,0.34
%C20:2n6-PP,0.1948%,0.2762%,0.3234%,0.3360%,0.2159%,0.2472%,0.1658%,0.2982%,0.2603%,0.2140%
14_15-DiHETE-NE-F,0.02,0.38,0.45,0.10,0.04,0.01,0.23,0.01,0.02,0.01
F2-isoPs-NE-PP,0.29,0.24,1.80,0.26,,0.32,0.08,0.27,0.51,
5_6-DiHETrE-NE-F,0.48,3.96,0.65,0.36,1.07,0.12,0.47,0.66,0.18,0.42
PGF2a-NE-PP,0.29,0.24,1.81,0.26,,0.85,0.08,0.28,0.51,0.06
11(12)-EpETrE-To-F,16.70,44.70,10.20,15.40,20.70,9.24,16.70,10.60,4.60,25.00
5-HETE-NE-F,1.46,18.30,1.76,1.64,5.93,2.72,1.93,1.69,0.53,1.65
%-C20:0-NEFA-F,0.209%,0.326%,0.137%,0.274%,0.131%,0.156%,0.121%,0.319%,0.083%,0.239%
C20:4n6/C20:3n6-PP,11.29,4.93,5.78,5.94,7.35,4.07,5.28,6.62,5.45,5.82
C20:5n3-NEFA-F,0.01,0.15,1.40,0.07,1.37,0.05,0.39,0.19,0.27,0.06
C18:0-NEFA-F,5.42,2.35,17.24,4.99,20.42,5.88,9.29,4.79,4.63,4.85
%C21:0-PP,0.0122%,0.0042%,0.0054%,0.0865%,0.0084%,0.0049%,0.0093%,0.0100%,0.0050%,0.0060%
9_10-EpO-NE-F,1.33,5.00,1.58,2.38,1.93,2.13,1.50,3.07,1.14,1.31
C18:0/C16:0-NEFA-F,0.22,0.28,0.22,0.48,0.23,0.29,0.19,0.31,0.22,0.25
C22:0-F,3.55,6.61,5.34,1.93,4.22,1.99,6.16,1.10,1.18,2.99
%C22:4n6-PP,0.1664%,0.1939%,0.1199%,0.2885%,0.1475%,0.1859%,0.1215%,0.1671%,0.1241%,0.2269%
16(17)-EpDPE-To-F,12.50,23.40,7.18,10.20,14.30,6.72,15.30,8.16,5.88,7.47
%-C18:3n3-NEFA-PP,1.929%,2.272%,1.789%,2.210%,2.460%,2.141%,1.680%,2.422%,1.974%,1.291%
C18:0/C16:0-PP,0.22,0.28,0.30,0.24,0.16,0.25,0.22,0.26,0.20,0.22
12(13)-EpODE-NE-PP,0.52,0.31,1.49,1.48,0.42,1.07,0.74,0.35,0.42,0.95
15(16)-EpODE-To-F,24.00,100.00,22.70,34.20,53.50,22.10,45.00,16.50,9.33,48.70
12_13-DiHOME-To-F,0.74,7.02,1.50,0.97,9.15,0.69,2.31,0.97,0.87,2.81
14(15)-EpETrE-To-F,32.90,71.90,18.40,23.20,38.90,14.30,34.80,17.00,7.35,47.70
%-C22:5n3-NEFA-F,0.007%,0.270%,0.539%,0.102%,0.326%,0.042%,0.189%,0.242%,0.170%,0.078%
Sum-TriHOME-To-F,13.10,49.60,11.40,8.28,12.60,10.10,11.20,8.32,8.68,13.70
13-HODE-NE-F,5.13,17.60,20.00,4.10,7.78,1.65,3.23,6.59,4.06,23.40
13-HODE-To-F,1440.00,6500.00,895.00,952.00,1500.00,882.00,1390.00,599.00,683.00,1730.00
9-HODE-To-F,509.00,2040.00,293.00,325.00,533.00,333.00,456.00,217.00,264.00,576.00
_ (n-6)/_ (n-3) -PP,10.36,9.95,11.95,8.17,7.69,9.08,6.13,10.73,8.54,12.30
%-_ SFA-NEFA-F,33.94%,27.50%,42.69%,30.54%,30.50%,26.41%,33.29%,36.95%,21.77%,40.88%
PGF2a-NE-F,0.15,0.02,0.98,0.42,,0.36,,0.40,0.20,0.38
"%9c,11t-CLA-PP",0.0215%,0.0443%,0.0200%,0.0483%,0.0387%,0.0150%,0.0254%,0.0336%,0.0251%,0.0386%
%C18:4n3-F,0.025%,0.016%,0.092%,0.096%,0.015%,0.108%,0.005%,0.067%,0.033%,0.008%
9-HEPE-NE-PP,0.15,0.18,0.08,0.08,0.13,0.08,0.07,0.02,0.14,0.09
C20:4n6/C20:3n6-F,10.57,4.14,4.79,4.81,8.57,3.45,5.18,5.64,5.26,5.30
12(13)-EpOME-NE-PP,9.90,4.44,22.40,5.47,2.93,7.57,4.93,8.01,7.35,9.38
12(13)-Ep-9-KODE-To-F,39.20,148.00,28.60,38.60,46.50,22.30,53.90,18.30,20.60,65.50
13-KODE-To-F,99.30,374.00,75.20,97.50,117.00,69.70,135.00,49.40,48.70,177.00
C22:0-PP,2.12,2.65,3.68,1.83,10.23,2.23,2.67,1.37,2.63,3.37
9_10-e-DiHO-NE-PP,2.36,4.18,10.20,2.37,2.22,3.14,3.11,3.15,4.04,2.96
_ SFA-NEFA-F,36.85,15.61,110.84,19.86,128.55,33.19,67.69,28.53,34.83,32.35
13-HOTE-To-F,12.10,85.10,10.80,12.10,17.10,11.10,22.60,5.79,7.53,18.10
C16:0-NEFA-F,24.79,8.30,79.35,10.31,90.11,20.48,49.34,15.39,21.00,19.62
15-HETE-To-F,58.20,201.00,28.30,30.70,87.30,23.50,76.30,25.50,18.90,87.30
9_10-DiHOME-NE-PP,0.63,1.13,6.61,0.49,0.18,0.61,1.01,1.38,1.40,1.25
%-_ (n-3) PUFA-NEFA-PP,2.917%,3.861%,3.067%,3.488%,3.833%,3.693%,2.553%,3.172%,3.546%,3.293%
9-HOTE-To-F,11.20,84.60,10.30,11.20,13.70,10.70,20.60,6.54,7.29,16.00
9_10-DiHOME-To-F,0.86,5.62,1.17,0.81,11.70,0.77,3.59,0.81,0.86,1.91
9(10)-EpODE-To-F,18.40,76.30,16.70,28.70,25.30,18.80,38.90,12.20,7.75,34.30
11-HETE-To-F,24.60,87.00,12.00,14.20,41.30,9.95,34.90,11.10,8.09,41.10
C21:0-PP,0.79,0.29,0.59,2.52,0.71,0.26,0.79,0.60,0.72,0.77
9-KODE-To-F,187.00,881.00,147.00,199.00,243.00,137.00,296.00,100.00,99.20,382.00
Sum-TriHOME-NE-PP,1.13,1.55,2.76,1.02,0.70,0.93,0.92,1.97,1.32,1.21
5-HEPE-NE-F,1.06,7.75,0.49,0.90,7.50,0.95,4.21,1.15,0.62,0.44
C18:1n9/C18:0-F,6.85,6.73,6.43,8.83,5.22,7.59,5.83,6.86,5.49,8.49
%-C16:0-NEFA-F,22.837%,14.613%,30.561%,15.849%,21.378%,16.297%,24.263%,19.927%,13.126%,24.800%
"%9c,11t-CLA-F",0.018%,0.043%,0.050%,0.097%,0.095%,0.083%,0.071%,0.049%,0.019%,0.052%
8-HETE-To-F,14.70,63.70,6.76,9.60,26.90,6.57,24.50,7.15,4.92,26.50
9_10-DiHODE-NE-PP,0.02,0.21,1.05,0.04,0.02,0.08,0.14,0.23,0.22,0.20
9(10)-EpOME-NE-PP,5.06,3.01,13.70,5.84,1.72,6.18,4.66,6.18,4.96,5.00
%-C20:2n6-NEFA-F,0.398%,0.461%,0.209%,0.508%,0.385%,0.485%,0.266%,0.513%,0.269%,0.420%
C22:6n3/C22:5n3-NEFA-F,5.14,25.32,3.69,11.53,3.01,3.56,2.00,8.91,2.73,20.89
%C16:1n7-F,2.019%,2.488%,2.194%,4.253%,5.397%,3.993%,3.172%,2.903%,1.957%,2.921%
5_15-DiHETE-To-F,0.36,2.00,0.28,0.11,0.48,0.28,0.41,0.20,0.37,0.44
13-KODE-NE-F,2.11,3.77,3.91,0.80,9.47,0.55,1.21,8.11,2.77,1.15
13-HODE-NE-PP,9.15,14.90,33.50,23.30,4.21,5.45,11.30,12.60,18.30,22.30
15-HETE-NE-F,0.24,0.53,0.41,0.14,0.28,0.10,0.14,0.09,0.03,1.00
